Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Med_earnings
Azusa Pacific University,CA,0,0,0,0,1,1,0,0,0,0.87,1132,54157,NA,NA,NA,NA,NA,18907,19768,19999,21048,28810,0.2793,0.0646,0.3765,0.134,0.0033,0.0066,0.0571,0.4887,19710,27709,0.3993,0.6716,0.3404,0.5452,0.71,0.75,0.7143,0.5465,55900
Biola University,CA,0,0,0,0,0,0,0,0,0,0.5663,1250,57785,NA,NA,NA,NA,NA,21611,23970,22929,29133,34864,0.4171,0.0285,0.2216,0.1422,0.002,0.0035,0.0809,0.4494,19000,43951,0.2623,0.7807,0.35,0.6444,0.7,0.6667,0.6667,0.6441,50700
California Baptist University,CA,0,0,0,0,0,1,0,0,0,0.7992,NA,49531,NA,NA,NA,NA,NA,23235,22508,24711,27074,32829,0.3449,0.0675,0.4047,0.0613,0.0054,0.0072,0.0573,0.6373,20500,32916,0.4318,0.7546,0.4333,0.563,0.7091,0.5,0.4615,0.5682,47500
California Lutheran University,CA,0,0,0,0,0,1,0,0,0,0.8718,1258,60992,NA,NA,NA,NA,NA,20047,21172,22688,27900,37492,0.3817,0.0462,0.4004,0.055,0.0016,0.0044,0.0637,0.5023,18970,30260,0.3122,0.7288,0.6111,0.7588,0.8621,1,0.5,0.6923,60200
California Polytechnic State University-San Luis Obispo,CA,0,0,0,0,1,0,0,0,0,0.3043,NA,29680,10117,10842,14619,22251,28119,NA,NA,NA,NA,NA,0.5142,0.007,0.2148,0.1421,0.001,0.0025,0.0772,0.2255,15396,31868,0.1706,0.8736,0.9231,0.7941,0.8759,0.8571,0.7143,0.8143,74300
California State University-Bakersfield,CA,0,0,0,0,0,1,0,0,0,0.8655,NA,18410,4906,5530,8273,13002,16814,NA,NA,NA,NA,NA,0.1269,0.0403,0.6829,0.0699,0.0026,0.002,0.0208,0.2319,11270,8971,0.6271,0.4969,0.4321,0.4899,0.6463,0.5,0,0.4359,50100
California State University-Stanislaus,CA,0,0,0,0,0,1,0,0,0,0.9661,NA,16968,3513,4109,7258,10948,14824,NA,NA,NA,NA,NA,0.1777,0.0244,0.6275,0.0894,0.0025,0.0066,0.0247,0.2099,11750,12000,0.5771,0.6266,0.5556,0.5331,0.6061,0.6667,0.3333,0.5818,48500
California State University-San Bernardino,CA,0,0,0,0,0,1,0,0,0,0.9108,NA,18750,5949,6490,8999,12729,16487,NA,NA,NA,NA,NA,0.1027,0.0503,0.7197,0.0562,0.0013,0.0014,0.0245,0.2103,12445,12407,0.596,0.5323,0.4465,0.5431,0.6609,0.5,0,0.5156,48800
California State Polytechnic University-Pomona,CA,0,0,0,0,1,1,0,0,0,0.5538,NA,21655,7832,9321,12143,16173,20173,NA,NA,NA,NA,NA,0.1364,0.0265,0.531,0.2263,0.0012,0.0018,0.036,0.2399,13437,16978,0.4674,0.7579,0.5029,0.5998,0.7835,0.7143,0.5714,0.6897,58000
California State University-Chico,CA,0,0,0,0,0,1,0,0,0,0.95,NA,24766,10716,11375,14988,19506,23714,NA,NA,NA,NA,NA,0.4321,0.0259,0.3776,0.0577,0.0039,0.002,0.0541,0.3269,14500,17808,0.4171,0.6944,0.4667,0.6063,0.5816,0.4,0.4286,0.634,55400
