Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Med_earnings
University of San Francisco,CA,0,0,0,0,1,0,0,0,0,0.7118,1323,73981,NA,NA,NA,NA,NA,32074,32051,35167,38642,48742,0.2388,0.0773,0.2132,0.2602,0.0017,0.0035,0.0983,0.4602,19000,50534,0.2838,0.6901,0.6731,0.7655,0.8408,0,0.8333,0.7358,74000
William Jessup University,CA,0,0,0,0,0,0,0,0,0,0.6592,1130,53732,NA,NA,NA,NA,NA,27725,27796,32544,28560,34156,0.4604,0.0828,0.2467,0.0329,0.0107,0.016,0.0516,0.5512,14419,24705,0.3412,0.5946,0.3889,0.4,0.4444,0.6667,0.5,1,45100
San Jose State University,CA,0,0,0,0,1,1,0,0,0,0.7671,NA,24114,10038,11259,14663,18994,23112,NA,NA,NA,NA,NA,0.1278,0.0361,0.3135,0.3924,8e-4,0.0048,0.0513,0.2002,12000,16000,0.3638,0.6824,0.5207,0.5883,0.7909,0.25,0.6429,0.6619,63800
Santa Clara University,CA,0,0,0,0,0,0,0,0,0,0.5211,1379,75576,NA,NA,NA,NA,NA,29302,19515,24744,30188,54634,0.3983,0.0311,0.1847,0.2104,7e-4,0.0018,0.0952,0.2411,16845,68808,0.1104,0.8792,0.9318,0.9027,0.9116,1,1,0.9011,85300
Saint Mary's College of California,CA,0,0,0,0,1,1,0,0,0,0.8789,NA,71268,NA,NA,NA,NA,NA,23731,21930,23463,22610,38193,0.3816,0.0697,0.3079,0.162,0.0115,0.0246,0,0.4347,19500,54767,0.2301,0.7615,0.6,0.6792,0.7813,1,0.8,0.7143,63600
Sonoma State University,CA,0,0,0,0,0,1,0,0,0,0.94,NA,23866,9278,11078,14627,19415,22112,NA,NA,NA,NA,NA,0.4104,0.0289,0.41,0.0484,0.0037,0.0039,0.0555,0.2658,13000,24818,0.3447,0.624,0.5581,0.5953,0.5435,0.6,0.5,0.5086,53200
Vanguard University of Southern California,CA,0,0,0,0,0,1,0,0,0,0.7484,NA,53254,NA,NA,NA,NA,NA,18883,19218,22090,25240,30300,0.3213,0.0455,0.4693,0.047,0.003,0.0045,0.025,0.8537,15000,24000,0.4374,0.6429,0.3714,0.6045,0.6667,0,1,0.5455,48800
University of Southern California,CA,0,0,0,0,0,0,0,0,0,0.1202,1520,81298,NA,NA,NA,NA,NA,12880,14852,19991,26959,52817,0.2992,0.0646,0.175,0.2456,0.0014,0.0026,0.0626,0.2488,16112,46098,0.2191,0.9345,0.8704,0.9042,0.9603,0.6667,1,0.9071,88800
Westmont College,CA,0,0,0,0,0,0,0,0,0,0.8199,1380,67000,NA,NA,NA,NA,NA,21622,28173,23958,28924,37690,0.5226,0.0202,0.2313,0.0693,0.0023,0.0023,0.067,0.483,19343,53488,0.1898,0.7463,0.5,0.7015,0.875,0.2,1,0.6875,58000
Whittier College,CA,0,0,0,0,0,1,0,0,0,0.7545,1231,62130,NA,NA,NA,NA,NA,20984,20239,23034,29194,31681,0.2625,0.0489,0.444,0.0676,0,0.0044,0.0667,0.6232,18125,32059,0.3424,0.6316,0.625,0.6763,0.6897,1,0.5,0.5833,50900
Adams State University,CO,0,0,0,0,0,1,0,0,0,0.9918,1066,22772,10833,10184,12214,17988,20686,NA,NA,NA,NA,NA,0.3718,0.0903,0.3749,0.0122,0.0153,0.0069,0.0444,0.3237,11750,15000,0.455,0.3188,0.0857,0.2877,0,0,0.5,0.2778,38100
University of Colorado Denver/Anschutz Medical Campus,CO,0,0,0,0,1,1,0,0,0,0.7458,1150,23895,8996,9422,14095,19592,22389,NA,NA,NA,NA,NA,0.4102,0.062,0.2629,0.1046,0.0038,0.0014,0.0554,0.2405,14500,20000,0.3374,0.4314,0.4,0.3894,0.5706,0.3333,0,0.4381,71200
University of Colorado Colorado Springs,CO,0,0,0,0,0,0,0,0,0,0.8477,1180,23180,14128,12915,15796,19196,20861,NA,NA,NA,NA,NA,0.5711,0.0449,0.1953,0.0385,0.0041,0.0031,0.0735,0.2535,12965,20434,0.2935,0.4631,0.35,0.3521,0.4857,0.4,0.1667,0.3416,49300
University of Colorado Boulder,CO,0,0,0,0,0,0,0,0,0,0.8073,1301,32351,12070,11443,16250,24879,29839,NA,NA,NA,NA,NA,0.6831,0.0175,0.1304,0.0619,0.0016,9e-4,0.0653,0.2324,13000,45000,0.1456,0.7597,0.6737,0.6738,0.8273,0.5714,0.6667,0.7513,59700
Colorado School of Mines,CO,0,0,0,0,0,0,0,0,0,0.58,1403,37114,18396,17041,23739,28947,32645,NA,NA,NA,NA,NA,0.6948,0.0115,0.1235,0.0578,0.0048,5e-4,0.0586,0.3533,17500,44717,0.1348,0.8166,0.75,0.7465,0.8718,0.5,1,0.902,95600
Colorado State University-Fort Collins,CO,0,0,0,0,0,0,0,0,0,0.9077,1199,28277,10653,10727,14311,22243,27159,NA,NA,NA,NA,NA,0.7071,0.0223,0.156,0.0289,0.0054,0.0012,0.0494,0.3352,14750,32398,0.2177,0.6803,0.6056,0.6227,0.6809,0.3,0.2222,0.6341,53400
Colorado Mesa University,CO,0,0,0,0,0,0,0,0,0,0.8176,1062,22346,11845,12776,15088,19080,20237,NA,NA,NA,NA,NA,0.6577,0.0188,0.2136,0.0153,0.0051,0.0043,0.0442,0.3556,11000,14620,0.3312,0.4439,0.1216,0.3167,0.3226,0.1818,0.1818,0.3,42300
Metropolitan State University of Denver,CO,0,0,0,0,0,1,0,0,0,0.9791,1025,22428,12938,13283,15763,19684,21745,NA,NA,NA,NA,NA,0.4438,0.073,0.3548,0.0462,0.0079,0.0021,0.0536,0.3165,12500,12000,0.3493,0.3097,0.2,0.2657,0.4219,0.3333,0.1667,0.2526,44200
University of Northern Colorado,CO,0,0,0,0,0,1,0,0,0,0.7854,1106,26352,14834,14090,15568,17742,21739,NA,NA,NA,NA,NA,0.6116,0.0443,0.2533,0.0214,0.0032,0.0015,0.0478,0.4066,13805,18692,0.2921,0.5614,0.5132,0.4381,0.537,0.4545,0.1111,0.4188,47100
Regis University,CO,0,0,0,0,0,1,0,0,0,0.7609,1149,52045,NA,NA,NA,NA,NA,18805,20827,21235,22789,30596,0.498,0.0509,0.2957,0.063,0.0049,0.0036,0.0424,0.4452,19750,33538,0.2573,0.6744,0.625,0.6716,0.6563,1,1,0.65,62700
Colorado State University Pueblo,CO,0,0,0,0,0,1,0,0,0,0.9879,1031,22545,9468,10023,13022,13063,18871,NA,NA,NA,NA,NA,0.4438,0.0622,0.3467,0.0203,0.008,0.005,0.0748,0.3338,14475,12969,0.4321,0.4,0.2222,0.3559,0.3,0,0.25,0.2881,41600
Central Connecticut State University,CT,0,0,0,0,0,0,0,0,0,0.7671,1061,22904,11705,12494,14913,17462,20234,NA,NA,NA,NA,NA,0.5621,0.1315,0.1796,0.0529,9e-4,8e-4,0.0349,0.4864,16750,16226,0.3641,0.5484,0.4711,0.471,0.5227,0.25,0,0.619,51600
University of Connecticut,CT,0,0,0,0,1,1,0,0,0,0.5451,1340,35236,14821,16030,21049,28647,31470,NA,NA,NA,NA,NA,0.5131,0.0696,0.1506,0.1313,0.001,3e-4,0.0429,0.3893,18610,30077,0.2433,0.871,0.754,0.7521,0.8291,0.5,1,0.7705,66000
University of Hartford,CT,0,0,0,0,0,0,0,0,0,0.8275,1201,60887,NA,NA,NA,NA,NA,27022,28070,28391,31796,34465,0.5041,0.1705,0.154,0.0431,0.0044,0.0015,0.0191,0.6218,19500,40012,0.2899,0.651,0.4153,0.4874,0.7,0.75,0,0.4386,51700
Mitchell College,CT,0,0,0,0,0,0,0,0,0,0.7684,NA,52006,NA,NA,NA,NA,NA,22627,22447,29584,31290,34423,0.5083,0.1521,0.1833,0.0188,0.0021,0.0021,0.0458,0.654,15000,22700,0.4311,0.6721,0.4333,0.8235,0.75,0,0.5,0.6667,34000
University of New Haven,CT,0,0,0,0,0,0,0,0,0,0.9124,1180,60918,NA,NA,NA,NA,NA,28032,29547,30939,34186,35968,0.5752,0.1129,0.1931,0.0323,0.0025,2e-4,0.0143,0.8429,20475,48779,0.2819,0.6725,0.5141,0.5211,0.5143,1,0.5,0.5217,54600
Southern Connecticut State University,CT,0,0,0,0,0,0,0,0,0,0.8292,NA,25857,17542,17443,18091,20772,23564,NA,NA,NA,NA,NA,0.4579,0.1862,0.2269,0.036,0.0013,5e-4,0.0432,0.5785,15000,19361,0.4171,0.584,0.4927,0.4542,0.5306,0,0,0.4727,48100
Wesleyan University,CT,0,0,0,0,0,0,0,0,0,0.1443,1426,82245,NA,NA,NA,NA,NA,5122,3847,6975,15364,44356,0.5442,0.0549,0.1058,0.0902,3e-4,7e-4,0.0722,0.1867,13824,53915,0.1516,0.9267,0.95,0.956,0.9434,0.5,1,0.9118,63400
Yale University,CT,0,0,0,0,0,0,0,0,0,0.0457,1547,82170,NA,NA,NA,NA,NA,341,1751,5283,14152,45628,0.3514,0.083,0.1481,0.2238,0.0032,0.0015,0.0711,0.0552,11648,41630,0.1878,0.9813,0.9796,0.9503,0.9921,0.9167,1,0.975,124400
Delaware State University,DE,1,0,0,0,0,0,0,0,0,0.5492,939,24248,10907,12077,14018,14843,14352,NA,NA,NA,NA,NA,0.0811,0.714,0.0732,0.0076,0.0017,2e-4,0.0623,0.5208,17500,28849,0.4816,0.4429,0.4459,0.4074,0.3333,0.6667,1,0.4737,38400
University of Delaware,DE,0,0,0,0,0,0,0,0,0,0.7381,1290,28744,11644,11783,14209,19968,25149,NA,NA,NA,NA,NA,0.6845,0.0642,0.0971,0.0559,0.0011,3e-4,0.0393,0.4756,21000,40000,0.1622,0.8211,0.657,0.7381,0.8,0.625,1,0.669,64000
American University,DC,0,0,0,0,0,0,0,0,0,0.4063,1386,68494,NA,NA,NA,NA,NA,25678,22059,30528,34332,50571,0.5598,0.076,0.1213,0.0674,4e-4,7e-4,0.0537,0.3448,19500,51548,0.1293,0.7968,0.7813,0.7742,0.8125,1,1,0.7949,67700
Gallaudet University,DC,0,0,0,0,0,0,0,0,0,0.5921,896,39402,NA,NA,NA,NA,NA,9127,11632,13876,16807,24402,0.4187,0.1747,0.2176,0.0505,0.0066,0.0088,0.0209,0.334,12750,14431,0.5676,0.4919,0.3191,0.4,0.5,1,0.5,0.25,34300
Lynn University,FL,0,0,0,0,0,0,0,0,0,0.8011,1126,58188,NA,NA,NA,NA,NA,32389,33319,38149,37642,40372,0.4873,0.1008,0.1972,0.0169,0.0022,7e-4,0.0319,0.3443,10413,43374,0.2523,0.5246,0.5441,0.4272,0.3,0.5,0,0.6,46500
University of Central Florida,FL,0,0,0,0,0,1,0,0,0,0.4104,1281,22662,5851,7261,10566,14490,16337,NA,NA,NA,NA,NA,0.4474,0.0981,0.3011,0.0737,0.0012,0.0011,0.046,0.2453,15000,16207,0.3449,0.7665,0.7322,0.7439,0.801,0.6667,1,0.7198,51200
Eckerd College,FL,0,0,0,0,0,0,0,0,0,0.6509,1238,65354,NA,NA,NA,NA,NA,28854,23964,30455,29216,36212,0.7618,0.0247,0.0916,0.0206,0.002,0.001,0.0574,0.5039,19500,40818,0.2034,0.6812,0.7059,0.5833,0.7778,1,1,0.7619,46700
Florida Atlantic University,FL,0,0,0,0,0,1,0,0,0,0.8132,1112,20118,4380,5742,8670,15018,15478,NA,NA,NA,NA,NA,0.4039,0.1869,0.2895,0.0392,0.0013,0.0011,0.039,0.2683,12500,15098,0.3776,0.5906,0.6459,0.646,0.6886,0.3333,1,0.6545,48300
Flagler College,FL,0,0,0,0,0,0,0,0,0,0.8095,1168,38585,NA,NA,NA,NA,NA,21571,21691,25126,27908,31682,0.7267,0.0336,0.1235,0.0104,0.0019,0.0019,0.0359,0.5346,15000,23000,0.3004,0.5689,0.5714,0.7143,0.4286,0.5,0,0.2857,42200
Florida Institute of Technology,FL,0,0,0,0,0,0,0,0,0,0.6437,1213,57630,NA,NA,NA,NA,NA,23742,24195,26646,29053,32253,0.5453,0.0491,0.1416,0.0177,0.0032,0.001,0.0305,0.399,14049,34965,0.2203,0.665,0.6383,0.7018,0.7143,0,0.5,0.7143,61200
Florida International University,FL,0,0,0,0,0,1,0,0,0,0.6386,1154,19666,6727,7856,10602,14086,17155,NA,NA,NA,NA,NA,0.0915,0.1158,0.6685,0.026,6e-4,5e-4,0.0209,0.2131,14246,12821,0.6146,0.587,0.6443,0.7109,0.7643,0.3333,1,0.6182,52000
Florida State University,FL,0,0,0,0,0,0,0,0,0,0.2504,1309,23308,3055,4400,7320,9356,11392,NA,NA,NA,NA,NA,0.5831,0.0779,0.2304,0.0343,0.0012,7e-4,0.0434,0.2208,16100,16129,0.2843,0.8437,0.8721,0.8591,0.8273,0.6154,1,0.85,53900
University of Florida,FL,0,0,0,0,0,0,0,0,0,0.2335,1397,21359,2033,3599,8897,14440,15203,NA,NA,NA,NA,NA,0.5078,0.0505,0.2407,0.112,6e-4,4e-4,0.0479,0.1205,14000,16360,0.2267,0.9097,0.8271,0.895,0.9158,0.75,1,0.8896,65700
Jacksonville University,FL,0,0,0,0,0,0,0,0,0,0.5769,1165,58927,NA,NA,NA,NA,NA,25275,23778,26247,30566,32239,0.5081,0.1739,0.1484,0.0244,0.0035,0.0035,0.0453,0.1436,12803,23817,0.0967,0.6094,0.39,0.5303,0.6364,0.5,1,0.4,57100
Keiser University-Ft Lauderdale,FL,0,0,0,0,0,1,0,0,0,0.9653,NA,43353,NA,NA,NA,NA,NA,35650,35703,36897,36278,36258,0.2463,0.1771,0.3009,0.0193,0.0058,0.0023,0.0087,0.5503,13000,11887,0.518,0.596,0.4876,0.5762,0.6923,0.5556,1,0.6786,35100
University of Miami,FL,0,0,0,0,0,0,0,0,0,0.1894,1409,73776,NA,NA,NA,NA,NA,11008,16322,18858,29057,47404,0.4679,0.0899,0.2354,0.0451,0.0013,7e-4,0.0406,0.2685,15250,42165,0.1629,0.8609,0.7604,0.8526,0.8593,1,0,0.8082,72900
University of North Florida,FL,0,0,0,0,0,0,0,0,0,0.705,1104,18984,5890,6414,9056,13816,15699,NA,NA,NA,NA,NA,0.5834,0.1152,0.1588,0.0589,0.0026,8e-4,0.0543,0.2435,11750,12986,0.3116,0.6708,0.7023,0.6695,0.8675,0.3333,1,0.5875,49200
Palm Beach Atlantic University,FL,0,0,0,0,0,0,0,0,0,0.9466,1126,52625,NA,NA,NA,NA,NA,23704,25221,26788,30331,33280,0.5897,0.0868,0.1807,0.0184,0.0029,0.0013,0.0313,0.3877,13816,23535,0.3156,0.6092,0.2444,0.5873,0.6667,0.25,1,0.6429,48000
University of South Florida,FL,0,0,0,0,0,0,0,0,0,0.4393,1235,21383,4820,6645,10184,15279,16504,NA,NA,NA,NA,NA,0.4551,0.0803,0.2248,0.0831,0.0015,0.001,0.0422,0.2457,14976,15000,0.327,0.7362,0.7266,0.7235,0.8453,1,0.7143,0.6853,48500
The University of West Florida,FL,0,0,0,0,0,0,0,0,0,0.4803,1166,18357,4518,5874,10113,13014,15182,NA,NA,NA,NA,NA,0.6229,0.1008,0.1092,0.034,0.0044,0.0025,0.0645,0.2635,13000,13292,0.3513,0.5485,0.4891,0.4344,0.6744,0.25,1,0.5067,43400
Abraham Baldwin Agricultural College,GA,0,0,0,0,0,0,0,0,0,0.6696,986,13323,5141,5474,7913,10569,10636,NA,NA,NA,NA,NA,0.7949,0.0842,0.0858,0.0085,0.0019,9e-4,0.012,0.2986,8750,8259,0.4204,0.4335,0.146,0.5072,0.2857,0.3333,0,0.5714,36300
Point University,GA,0,0,0,0,0,0,0,0,0,0.242,990,34203,NA,NA,NA,NA,NA,16991,19003,20339,21856,25703,0.4976,0.2286,0.0922,0.0048,0.0077,0.0019,0.0778,0.4014,14502,15177,0.6695,0.2515,0.243,0.3571,0,0,0.5,0.2174,34700
Brewton-Parker College,GA,0,0,0,0,0,0,0,0,0,0.9476,NA,34951,NA,NA,NA,NA,NA,20398,20378,23217,24265,24873,0.4071,0.37,0.1161,0.0093,0.0124,0.0046,0,0.5689,8250,10000,0.6265,0.2182,0.22,0.25,0,0,1,0.2,35100
College of Coastal Georgia,GA,0,0,0,0,0,0,0,0,0,0.9833,997,18167,10612,10536,13571,16513,16496,NA,NA,NA,NA,NA,0.5928,0.2048,0.0797,0.0174,0.0021,0.0014,0.0231,0.2902,8250,8000,0.4495,0.28,0.1123,0.2128,0.4545,0,0,0.175,32800
Georgia College & State University,GA,0,0,0,0,0,0,0,0,0,0.7995,1144,28118,15013,16634,19024,21513,21587,NA,NA,NA,NA,NA,0.8322,0.0334,0.0638,0.0158,0.0014,0.001,0.0326,0.3604,16018,15539,0.1656,0.6256,0.7183,0.6556,0.3478,0,0,0.5532,45200
Georgia Southern University,GA,0,0,0,0,0,0,0,0,0,0.8889,1057,22652,12718,13632,16027,18502,18545,NA,NA,NA,NA,NA,0.5772,0.2566,0.0797,0.02,0.0031,0.001,0.0455,0.4347,15250,13398,0.3897,0.5379,0.5084,0.4804,0.5505,0.4348,0,0.5034,46100
Georgia State University,GA,0,1,0,0,1,0,0,0,0,0.6678,1127,27149,15393,15828,18359,21227,21407,NA,NA,NA,NA,NA,0.1807,0.4238,0.1417,0.1591,8e-4,5e-4,0.054,0.429,11750,12466,0.5246,0.5215,0.558,0.5809,0.5305,1,0,0.5253,48200
University of Georgia,GA,0,0,0,0,0,0,0,0,0,0.4255,1335,27821,9788,11918,15583,18305,18614,NA,NA,NA,NA,NA,0.6778,0.0624,0.0732,0.1211,6e-4,6e-4,0.042,0.2388,16666,19996,0.1856,0.8962,0.8497,0.859,0.8414,0.6667,0.75,0.8673,59100
Mercer University,GA,0,0,0,0,0,0,0,0,0,0.7468,1288,55068,NA,NA,NA,NA,NA,19249,19382,19827,22447,25011,0.4477,0.3054,0.0762,0.0819,0.0013,9e-4,0.0429,0.5456,17655,23941,0.3484,0.7363,0.7161,0.6957,0.7857,1,1,0.5806,58200
Piedmont University,GA,0,0,0,0,0,0,0,0,0,0.6435,1108,42631,NA,NA,NA,NA,NA,15746,15057,17733,22355,21952,0.6724,0.1262,0.1048,0.014,0.0017,0,0.0256,0.6574,18108,20028,0.4361,0.545,0.3043,0.4737,0,0.3333,0,0.3077,43400
Reinhardt University,GA,0,0,0,0,0,0,0,0,0,0.6233,NA,42776,NA,NA,NA,NA,NA,24850,21132,24069,27471,29993,0.5562,0.214,0.0858,0.0099,0.0059,0.002,0.0187,0.5871,13156,20251,0.3649,0.4593,0.2143,0.5185,0,0.3333,0,0.1538,40500
Toccoa Falls College,GA,0,0,0,0,0,0,0,0,0,0.6801,1114,33983,NA,NA,NA,NA,NA,18918,19846,20442,20550,23906,0.7365,0.10780000000000001,0.0671,0.0311,0.0012,0.0024,0.0335,0.279,11067,15168,0.5019,0.4903,0.1429,0.5556,0.6667,0.3333,1,0.5,32200
University of West Georgia,GA,0,0,0,0,0,0,0,0,0,0.8012,1026,23870,14492,14917,17231,19545,20039,NA,NA,NA,NA,NA,0.4959,0.3319,0.0899,0.0108,0.0016,0.001,0.0458,0.4266,15000,12200,0.489,0.4601,0.4263,0.3395,0.5,0.5,0.5,0.3158,41700
Chaminade University of Honolulu,HI,0,0,1,0,1,0,0,0,0,0.9341,NA,41667,NA,NA,NA,NA,NA,30812,18311,24462,25161,26576,0.0924,0.0153,0.1249,0.2525,0.0027,0.113,0.1256,0.3641,17932,34323,0.4199,0.5833,0.3571,0.7222,0.7128,1,0.7,0.7308,41000
University of Hawaii at Manoa,HI,0,0,1,0,1,0,0,0,0,0.7277,1113,22185,7570,9115,12080,16029,18465,NA,NA,NA,NA,NA,0.2042,0.0148,0.1388,0.336,0.0023,0.0203,0.2441,0.27,13099,27934,0.2587,0.4985,0.381,0.4626,0.7753,0.125,0.46,0.5823,51800
Hawaii Pacific University,HI,0,0,1,0,1,0,0,0,0,0.871,1173,49353,NA,NA,NA,NA,NA,25677,26104,27850,30667,33893,0.294,0.0645,0.2098,0.1679,0.0053,0.0185,0.1725,0.2664,12000,27991,0.3173,0.4201,0.2222,0.3824,0.5846,0.2857,0.5,0.5439,56400
Boise State University,ID,0,0,0,0,0,0,0,0,0,0.8393,NA,23497,14611,12803,17695,19887,20834,NA,NA,NA,NA,NA,0.7192,0.0166,0.1475,0.0269,0.0036,0.0043,0.0533,0.2654,14000,23000,0.2522,0.6149,0.5,0.5341,0.5854,0.4444,0.1667,0.5255,43100
University of Idaho,ID,0,0,0,0,0,0,0,0,0,0.7385,1129,22108,9789,11310,13517,16279,18948,NA,NA,NA,NA,NA,0.7493,0.0111,0.107,0.0162,0.0091,0.0018,0.044,0.2997,15784,15700,0.311,0.6149,0.3636,0.6154,0.6154,0.625,0.25,0.5455,47000
The College of Idaho,ID,0,0,0,0,0,0,0,0,0,0.4552,1175,47926,NA,NA,NA,NA,NA,18872,15681,21570,21825,24946,0.5485,0.0209,0.1397,0.019,0.0076,0.0067,0.058,0.4718,17000,29217,0.2413,0.5733,0.6364,0.52,1,0.5,0.6667,0.6667,47300
Lewis-Clark State College,ID,0,0,0,0,0,0,0,0,0,0.8677,940,17295,8104,9548,11813,14934,15365,NA,NA,NA,NA,NA,0.7709,0.0132,0.09,0.006,0.0188,0.0034,0.055,0.2687,10989,10000,0.3669,0.3582,0.1667,0.3182,0.2,0.1429,0,0.4,38200
Brigham Young University-Idaho,ID,0,0,0,0,0,0,0,0,0,0.9556,1107,12807,NA,NA,NA,NA,NA,3462,3338,5806,8491,11964,0.6356,0.0274,0.1879,0.0143,0.0022,0.0071,0.0192,0.1198,8750,5809,0.2669,0.5451,0.3846,0.4549,0.7097,0.1818,0.1818,0.49370000000000003,49400
Aurora University,IL,0,0,0,0,0,1,0,0,0,0.819,1087,38012,NA,NA,NA,NA,NA,15022,15459,17290,21086,23897,0.4046,0.0599,0.3958,0.0356,0.002,5e-4,0.0251,0.5792,15500,16212,0.445,0.6385,0.4754,0.5778,0.6,0,0.5,0.5926,46200
DePaul University,IL,0,0,0,0,1,0,0,0,0,0.7017,1221,57824,NA,NA,NA,NA,NA,25281,26627,27612,30700,34563,0.482,0.075,0.2319,0.1206,7e-4,5e-4,0.0437,0.4668,19383,41000,0.3177,0.7315,0.5587,0.6112,0.7622,0.4,0.6667,0.6491,60200
Greenville University,IL,0,0,0,0,0,0,0,0,0,0.9412,1003,43239,NA,NA,NA,NA,NA,17805,15802,17572,24042,24409,0.5976,0.1308,0.0732,0.0033,0.0022,0.0022,0.031,0.5775,15000,18145,0.4069,0.6183,0.5484,0.3846,0.6667,0,0,0.4,39900
University of Illinois Urbana-Champaign,IL,0,0,0,0,0,0,0,0,0,0.4482,1440,31636,3881,8562,11920,22833,28710,NA,NA,NA,NA,NA,0.3932,0.0591,0.1377,0.2222,3e-4,3e-4,0.0361,0.2985,16500,32322,0.2551,0.8711,0.6875,0.7615,0.8835,0.6667,0.5,0.8348,70900
Illinois State University,IL,0,0,0,0,0,0,0,0,0,0.86240000000000006,1111,32151,12904,13805,18239,24370,26478,NA,NA,NA,NA,NA,0.6859,0.1052,0.1295,0.0265,0.0011,4e-4,0.0392,0.4607,15750,24738,0.3042,0.7282,0.435,0.5578,0.6712,0.5,0.5,0.6321,51600
Loyola University Chicago,IL,0,0,0,0,0,0,0,0,0,0.7915,1308,62997,NA,NA,NA,NA,NA,29189,29131,31960,36356,40169,0.508,0.0624,0.208,0.1306,0.001,9e-4,0.0491,0.4819,20500,54462,0.2255,0.7553,0.5112,0.6,0.7654,0.6,0.6667,0.661,63500
Northern Illinois University,IL,0,0,0,0,0,0,0,0,0,0.7068,NA,26534,10974,11006,13204,17435,21060,NA,NA,NA,NA,NA,0.4361,0.2067,0.2378,0.0657,0.0026,8e-4,0.0315,0.4927,16250,15500,0.454,0.6491,0.3148,0.48,0.6625,1,0,0.5057,49800
Northwestern University,IL,0,0,0,0,0,0,0,0,0,0.0721,1526,83803,NA,NA,NA,NA,NA,3393,2389,6079,19672,48102,0.373,0.067,0.1419,0.2087,0.0011,0.0011,0.071,0.1856,14000,44255,0.1858,0.9719,0.92,0.9705,0.9883,1,1,0.9516,93400
Southern Illinois University-Carbondale,IL,0,0,0,0,0,0,0,0,0,0.915,1068,28970,12260,12266,15793,21934,23874,NA,NA,NA,NA,NA,0.6604,0.1674,0.0937,0.0184,0.0024,9e-4,0.0352,0.4706,17750,15493,0.3676,0.6029,0.2906,0.3627,0.5,0,0,0.4156,49500
Southern Illinois University-Edwardsville,IL,0,0,0,0,0,0,0,0,0,0.9751,1080,24429,7472,8176,11380,18028,18906,NA,NA,NA,NA,NA,0.6865,0.1381,0.0634,0.024,0.0016,0.0013,0.04,0.3961,15500,17000,0.3245,0.5901,0.3218,0.4043,0.6222,0.6667,0.5,0.5155,50800
Anderson University,IN,0,0,0,0,0,0,0,0,0,0.5175,1090,48027,NA,NA,NA,NA,NA,15932,15679,18081,22978,26350,0.7408,0.1035,0.0549,0.0153,0,0,0.0513,0.6462,19500,24343,0.3724,0.6545,0.2679,0.5714,0.6667,0.3333,0,0.5,41300
Butler University,IN,0,0,0,0,0,0,0,0,0,0.8206,1262,62673,NA,NA,NA,NA,NA,25600,28804,36345,40785,41507,0.8044,0.0388,0.0634,0.0404,0.0016,0,0.0342,0.3998,22238,53043,0.1395,0.8064,0.7442,0.7429,0.9048,1,1,0.8974,68900
Hanover College,IN,0,0,0,0,0,0,0,0,0,0.7411,1214,55210,NA,NA,NA,NA,NA,26140,25146,23496,24482,22645,0.7692,0.0474,0.0263,0.0063,0.0095,0,0.0558,0.5069,19500,28291,0.2759,0.6957,0.8421,0.6364,1,0,1,0.6,51600
Indiana University-Purdue University-Indianapolis,IN,0,0,0,0,0,0,0,0,0,0.8289,1157,21624,6000,7098,11606,18428,19487,NA,NA,NA,NA,NA,0.6123,0.1044,0.1314,0.0685,9e-4,2e-4,0.0554,0.3508,13337,13520,0.3686,0.5787,0.4774,0.5016,0.7091,1,0.3333,0.4339,50700
University of Indianapolis,IN,0,0,0,0,0,0,0,0,0,0.7614,NA,47597,NA,NA,NA,NA,NA,16953,16549,22208,26310,25518,0.5952,0.1312,0.0912,0.0401,0.0017,9e-4,0.0363,0.5149,18714,20158,0.3943,0.6412,0.4222,0.52,0.85,0.3333,0,0.3667,46100
Indiana Institute of Technology,IN,0,0,0,0,0,0,0,0,0,0.6466,NA,41982,NA,NA,NA,NA,NA,18712,15525,21672,22843,24290,0.3684,0.1014,0.0336,0.0112,0.0037,0.003,0.0261,0.73,12564,17970,0.3635,0.4589,0.1702,0.5319,0.3636,0,0,0.2121,49400
